Agency	value	key	Sector	Country	Province	Adm3	Latitude	Longitude	geo	Outcome	Output	"Indicator
(e.g. ""# of liters of water delivered"")"	Target	Revised Target	Interim	Interim%	To Date	To Date%	Final	Final%	Original Comments	Additional Comments
ActionAid	2	1	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.995716	23.592918	"37.995716,23.592918"	Acces to WFS		3x women friendly spaces established and operating after xx weeks	"3,554"		"1,076"	30%	"1,076"	30%		0%	"This figure is assuming the entire schisto camp will reach 3,900 and Kara Tepe will reach 2,300 by end of June 2016"	"This figures includes the total women we have reached through all our activities accessible in the WFS. There is no line to account for double counting, however if we subtract beneficiaries that have receive two or more different services the number that have initially visited our WFS is 683."
ActionAid	3	2	Protection	Greece	"Dodekanissa, Greece"	Dodekanissa	39.130354	26.530764	"39.130354,26.530764"	Acces to WFS		Dignity kits distributed to # of women after 3 months in Kara Tepe & Caritas Hotel	550		0	0%	0	0%		0%		The activity hasn't started yet.
ActionAid	4	3	Protection	Greece	"Attica, Greece"	Attica	37.995717	23.592918	"37.995717,23.592918"	Acces to WFS		Hygiene kits distributed to # of women and girls after three months in Schisto	"1,000"		200	20%	200	20%		0%		
ActionAid	5	4	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.995718	23.592918	"37.995718,23.592918"	Signposting to referrals		# of women and girls refered to medical and legal services during 3 months of project implementation	20		96	480%	96	480%		0%		"Fluctuating conditions within the camps, especially the fewer actors operating in Schisto, have meant that there is a greater need for referrals."
ActionAid	6	5	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.995719	23.592918	"37.995719,23.592918"	Increased resilience and skills of women		# of women participate in community consultation sessions	"1,000"		13	1%	13	1%		0%		?he number is low as this activity needs a lot of preparation however we are planning to implement in full capacity in the second phase of the project.
ActionAid	7	6	Protection	Greece	"Dodekanissa, Greece"	Dodekanissa	39.130354	26.530764	"39.130354,26.530764"	Increased resilience and skills of women		# of children participate in personal resilience activities in Caritas Hotel	100		0	0%	0	0%		0%		The activity hasn't started yet.
ActionAid	8	7	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.99572	23.592918	"37.99572,23.592918"	Increased resilience and skills of women		# of women participate in resilience building activities	"1,334"		165	12%	165	12%		0%		
ActionAid	9	8	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.995721	23.592918	"37.995721,23.592918"	Acces to WFS		# of women report using new approaches to reslience	"1,334"		0	0%	0	0%		0%		It is too early to have reported impact.
ActionAid	10	9	Protection	Greece	"Attica, Greece"	Attica	37.995722	23.592918	"37.995722,23.592918"	Acces to WFS		"# of women receive basic language instruction in Farsi, Greek and English in Schisto"	120		11	9%	11	9%		0%	120 individuals but may come for more than one class	"The total refers to Kara Tepe and not Schisto camp. In Schisto the camp management started organising language lessons, after ActionAid's needs assessment, so we had to re-plan for now."
ActionAid	11	10	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.995723	23.592918	"37.995723,23.592918"	Acces to WFS		Stories / testimony / collected from # of refugees	"1,234"		123	10%	123	10%		0%		"It is very early for this activity to work in full capacity, since it requires trust-building before any action is taken."
ActionAid	12	11	Protection	Greece	"Attica, Greece"	Attica - Dodekanissa	37.995716	23.592919	"37.995716,23.592919"	Signposting to referrals		# of men and boys participate in gender sensitisation workshops	"1,985"		0	0%	0	0%		0%		The activity hasn't started yet.
ActionAid	13	12	Protection	Greece	"Attica, Greece"	Attica	37.995716	23.59292	"37.995716,23.59292"	Signposting to referrals		# of women and girls recevied mobile protection unit services	"2,000"		0	0%	0	0%		0%	This figure is estimated from the total number of refugees currently in 7 sites	"The mobile unit was re-assessed for Skaramangas, as we've changed our plans to meet the site's needs and instead are establishing our own WFS."
ActionAid	14	13	Protection	Greece	"Attica, Greece"	Attica	37.995716	23.592921	"37.995716,23.592921"	Signposting to referrals		# of refugees (men and women) to benefit from camp management	"4,000"		"1,810"	45%	"1,810"	45%		0%		"Currently, ActionAid helped the camp management with minor repairs and benefits in Schisto site."
CRS	15	14	Other	Greece	"Attica, Greece"		37.59132	23.43379	"37.59132,23.43379"	Refugees & migrants are able to access basic services at service hubs		# of refugees & migrants accessing at least one service from the project	"35,750"		17158	48%	17158	48%		0%		
CRS	16	15	Other	Greece	"Attica, Greece"		37.59133	23.43379	"37.59133,23.43379"	Refugees & migrants are able to access basic services at service hubs		% level of satisfaction among refugees & migrants for services received	100%			0%		0%		0%		
